id,source,File_name,Type,File_Type,File_size_kb,resolution,Width,Height
c7e254ff6e829bbd379c791c06dba26a,Amazon,Amazon_Product_1.jpeg,Product,.jpeg,64.01,556x552,556,552
310f05853aa67594eadcecfaeab260c9,Amazon,Amazon_Product_10.jpeg,Product,.jpeg,155.39,1170x1169,1170,1169
a602b8402e30353896de582cfc8602d6,Amazon,Amazon_Product_11.jpeg,Product,.jpeg,75.09,1170x1018,1170,1018
4eea40723af32721712529331dc268e8,Amazon,Amazon_Product_12.jpeg,Product,.jpeg,77.93,1000x1000,1000,1000
c863dc028d2446a5a578c77a2efa5806,Amazon,Amazon_Product_13.jpeg,Product,.jpeg,61.27,554x554,554,554
7991c6fcc4ef20a377f8c18abdc9f813,Amazon,Amazon_Product_14.jpeg,Product,.jpeg,187.64,1144x1131,1144,1131
ed76a984a5d9b3284851a3aac726a6dd,Amazon,Amazon_Product_15.jpeg,Product,.jpeg,88.88,1000x1000,1000,1000
a3b051fd5fae0dadedab2c9c77db14a4,Amazon,Amazon_Product_16.jpeg,Product,.jpeg,181.19,1214x1349,1214,1349
f9cfd009a36836ec19a6f2a85995e4e6,Amazon,Amazon_Product_17.jpeg,Product,.jpeg,187.49,1170x1356,1170,1356
0720a71ff116ce2846ff173314a7d55a,Amazon,Amazon_Product_18.jpeg,Product,.jpeg,110.1,1144x1430,1144,1430
87386e7c1177f3fe5f0cedf0761799f6,Amazon,Amazon_Product_19.jpeg,Product,.jpeg,44.98,1000x1000,1000,1000
d5e829273d2ec34eb431bdb304ed2e43,Amazon,Amazon_Product_2.jpeg,Product,.jpeg,128.98,1280x1280,1280,1280
4fbd4b2c4c347827e27ea53e2cf4325e,Amazon,Amazon_Product_20.jpeg,Product,.jpeg,41.74,600x450,600,450
a49246a82db33e20b24ab293b010168f,Amazon,Amazon_Product_21.jpeg,Product,.jpeg,155.38,1280x1280,1280,1280
17298b5a7fdfb85a78c786be39aa4bd6,Amazon,Amazon_Product_22.jpeg,Product,.jpeg,54.91,554x554,554,554
e0b2fb8460042a1dfa1f2061095ad5ce,Amazon,Amazon_Product_23.jpeg,Product,.jpeg,150.17,1170x1195,1170,1195
6468069983edc56276264a292c5fa6b1,Amazon,Amazon_Product_24.jpeg,Product,.jpeg,160.95,1170x1156,1170,1156
bfbd00506062cfeff57e175f83b50d98,Amazon,Amazon_Product_3.jpeg,Product,.jpeg,32.37,554x554,554,554
13fde9b2368627e536643d283f35e290,Amazon,Amazon_Product_4.jpeg,Product,.jpeg,156.06,1170x1153,1170,1153
af8d3539cff71d5386eb8484c904317e,Amazon,Amazon_Product_5.jpeg,Product,.jpeg,118.85,1170x1147,1170,1147
3cf87f3719b71b23bd2b17e924e82bce,Amazon,Amazon_Product_6.jpeg,Product,.jpeg,159.91,1170x1113,1170,1113
5d91569e74b32a08b5831d6cc5e07d22,Amazon,Amazon_Product_7.jpeg,Product,.jpeg,128.36,1000x999,1000,999
ed564a46dd063466b8160650a42143be,Amazon,Amazon_Product_8.jpeg,Product,.jpeg,91.6,1080x1080,1080,1080
f809362deb48b39eb64427c786449190,Amazon,Amazon_Product_9.jpeg,Product,.jpeg,148.64,1170x1147,1170,1147
9697b0cc5ecb399713e847eb7ae8755d,Ebay,Ebay_Product_1.jpeg,Product,.jpeg,311.43,1600x1252,1600,1252
9d682bbea983d43cdc4e64f9e9d42e9e,Ebay,Ebay_Product_10.jpeg,Product,.jpeg,6.27,140x140,140,140
c57e314233737f4e73ef98b96e57a642,Ebay,Ebay_Product_11.jpeg,Product,.jpeg,5.11,140x140,140,140
f5600808882bf151eac38f2479bec97e,Ebay,Ebay_Product_12.jpeg,Product,.jpeg,282.97,1500x1500,1500,1500
4ffc3032fbcc48ab2263e87a6d7f0824,Ebay,Ebay_Product_13.jpeg,Product,.jpeg,8.32,140x140,140,140
627dc93ec99b3b29943cc182792ace8e,Ebay,Ebay_Product_14.jpeg,Product,.jpeg,6.97,140x140,140,140
03e99473b7ee9f2a8921bcb8d614205d,Ebay,Ebay_Product_15.jpeg,Product,.jpeg,3.71,113x140,113,140
